Element	English	Norwegian Nynorsk
Scandium	In 1879, Lars Fredrik Nilson and his team detected scandium in the minerals euxenite and gadolinite.<br><br>Nilson prepared 2 grams of scandium oxide of high purity.<br><br>Per Teodor Cleve showed that scandium had properties similar to those predicted by Mendeleev for eka-boron.<br><br>Metallic scandium was first prepared in 1937 by Fischer and his colleagues.	I 1879 påviste Lars Fredrik Nilson og laget hans skandium i minerala euksenit og gadolinitt.<br><br>Nilson framstilte 2 gram skandiumoksid av høg reinleik.<br><br>Per Teodor Cleve viste at skandium hadde eigenskapar som likna dei Mendelejev hadde spådd for eka-bor.<br><br>Metallisk skandium vart fyrst framstilt i 1937 av Fischer og kollegaene hans.
Titanium	William Gregor found the oxide of titanium in ilmenite in 1791.<br><br>Martin Heinrich Klaproth independently discovered the element in rutile in 1795 and named it.<br><br>The pure metallic form was only obtained in 1910 by Matthew A. Hunter.<br><br>In 1936, the Kroll Process made the commercial production of titanium possible.	William Gregor fann oksid av titan i ilmenitt i 1791.<br><br>Martin Heinrich Klaproth oppdaga uavhengig grunnstoffet i rutin i 1795 og namngav det.<br><br>Den reine metalliske forma vart berre oppnådd i 1910 av Matthew A. Hunter.<br><br>I 1936 gjorde Kroll-prosessen kommersiell produksjon av titan mogleg.
Vanadium	Vanadium was originally discovered by Andrés Manuel del Río in 1801.<br><br>In 1805, the French chemist Hippolyte Victor Collet-Descotils incorrectly declared that del Río's new element was only an impure sample of chromium.<br><br>In 1831, the Swedish chemist Nils Gabriel Sefström rediscovered the element in a new oxide he found while working with iron ores.<br><br>Later that same year, Friedrich Wöhler confirmed del Río's earlier work.	Vanadium vart opphavleg oppdaga av Andrés Manuel del Río i 1801.<br><br>I 1805 erklærte den franske kjemikaren Hippolyte Victor Collet-Descotils feilaktig at del Ríos nye grunnstoff berre var ei ureint prøve av krom.<br><br>I 1831 gjenoppdaga den svenske kjemikaren Nils Gabriel Sefström grunnstoffet i eit nytt oksid han fann medan han arbeidde med jernmalm.<br><br>Seinare same år stadfesta Friedrich Wöhler det tidlegare arbeidet til del Río.
Chromium	In 1797, Louis Nicolas Vauquelin received samples of crocoite ore.<br><br>In 1798, Vauquelin discovered that he could isolate metallic chromium by heating the oxide in a charcoal oven, making him the discoverer of the element.<br><br>Vauquelin was also able to detect traces of chromium in precious gemstones, such as ruby or emerald.	I 1797 mottok Louis Nicolas Vauquelin prøvar av krokoittmalm.<br><br>I 1798 oppdaga Vauquelin at han kunne isolere metallisk krom ved å varme opp oksidet i ein trekol-omn, noko som gjorde han til oppdagaren av grunnstoffet.<br><br>Vauquelin klarte òg å påvise spor av krom i edle steinar som rubin og smaragd.
Manganese	By the mid-18th century, Swedish chemist Carl Wilhelm Scheele had used pyrolusite to produce chlorine.<br><br>Scheele and others were aware that pyrolusite contained a new element, but they were not able to isolate it.<br><br>Johan Gottlieb Gahn was the first to isolate an impure sample of manganese metal in 1774, by reducing the dioxide with carbon.	Til midten av 1700-talet hadde den svenske kjemikaren Carl Wilhelm Scheele nytta pyrolysitt til å framstille klor.<br><br>Scheele og andre var klar over at pyrolysitt inneheldt eit nytt grunnstoff, men dei klarte ikkje å isolere det.<br><br>Johan Gottlieb Gahn var den fyrste som isolerte ei ureint prøve av manganmetall i 1774 ved å redusere dioksidet med karbon.
Iron	The first iron used by humans is likely to have come from meteorites.<br><br>The oldest known iron objects used by humans are some beads of meteoric iron, made in Egypt in about 4000 BC.<br><br>The discovery of smelting around 3000 BC led to the start of the iron age around 1200 BC and the prominent use of iron for tools and weapons.	Det fyrste jernet som vart nytta av menneske kom truleg frå meteorittane.<br><br>Dei eldste kjende jerngjenstandane som er nytta av menneske er nokre perler av meteorittjern, laga i Egypt om lag 4000 f.Kr.<br><br>Oppdaginga av smelting rundt 3000 f.Kr. leidde til starten av jernalderen rundt 1200 f.Kr. og den framtredande bruken av jern til verktøy og våpen.
Cobalt	Cobalt compounds have been used for centuries to impart a rich blue color to glass, glazes and ceramics.<br><br>The element was first isolated by Swedish chemist George Brandt in 1735.<br><br>He showed it was the presence of the element cobalt that caused the blue color in glass, not bismuth as previously thought.	Koboltforbindelsar har vorte nytta i hundrevis av år til å gje ei rik blå farge til glas, glasurar og keramikk.<br><br>Grunnstoffet vart fyrst isolert av den svenske kjemikaren George Brandt i 1735.<br><br>Han viste at det var tilstadeveringa av grunnstoffet kobolt som forårsaka den blå fargen i glas, ikkje vismut som ein tidlegare trudde.
Nickel	Artifacts made from metallic meteorites have been found dating from as early as 5000 BC.<br><br>In 1751, Baron Axel Fredrik Cronstedt was trying to extract copper from kupfernickel and instead produced the white metal.<br><br>In the early twentieth century, Ludwig Mond patented a process using nickel carbonyl to purify nickel.	Gjenstandar laga av metalliske meteorittane har vorte funne som daterer seg attende til 5000 f.Kr.<br><br>I 1751 prøvde baron Axel Fredrik Cronstedt å trekke ut koppar frå kupfernikkel og produserte i staden det kvite metallet.<br><br>I det tidlege tjuande hundreåret patenterte Ludwig Mond ein prosess som nytta nikkelkarbonyl til å rense nikkel.
Copper	Copper occurs naturally as native copper and was known to some of the oldest civilizations on record.<br><br>Earliest estimates of the discovery of copper suggest around 9000 BC in the Middle East.<br><br>It was one of the most important materials to humans throughout the copper and bronze ages.	Koppar førekjem naturleg som nativkoppar og var kjend for nokre av dei eldste sivilisasjonane som er dokumentert.<br><br>Tidlegaste estimat for oppdaginga av koppar tyder på rundt 9000 f.Kr. i Midtausten.<br><br>Det var eit av dei viktigaste materiala for menneske gjennom koppar- og bronsealderen.
Zinc	Metallic zinc was produced in the 13th century A.D. India by reducing calamine with organic substances such as wool.<br><br>The metal was rediscovered in Europe by Andreas Sigismund Marggraf in 1746.<br><br>He heated a mixture of calamine ore and carbon in a closed vessel without copper to produce the metal.	Metallisk sink vart framstilt i det 13. hundreåret e.Kr. i India ved å redusere kalamin med organiske stoff som ull.<br><br>Metallet vart gjenoppdaga i Europa av Andreas Sigismund Marggraf i 1746.<br><br>Han varma opp ei blanding av kalaminmalm og karbon i eit lukka kar utan koppar for å framstille metallet.
Gallium	In 1871, existence of gallium was first predicted by Russian chemist Dmitri Mendeleev and called the element eka-aluminum.<br><br>Gallium was discovered spectroscopically by French chemist Paul Emile Lecoq de Boisbaudran in 1875 by its characteristic spectrum in an examination of a sphalerite sample.<br><br>Later that year, Lecoq obtained the free metal by electrolysis of its hydroxide in potassium hydroxide solution.	I 1871 vart eksistensen av gallium fyrst spådd av den russiske kjemikaren Dmitri Mendelejev, som kalla grunnstoffet eka-aluminium.<br><br>Gallium vart oppdaga spektroskopisk av den franske kjemikaren Paul Emile Lecoq de Boisbaudran i 1875 ved hjelp av det karakteristiske spektrumet ved undersøking av ei sfaleritt-prøve.<br><br>Seinare det året fekk Lecoq det frie metallet ved elektrolyse av hydroksid-løysing i kaliumhydroksidløysing.
Germanium	In 1869, Dmitri Mendeleev predicted its existence and some of its properties based on its position on his periodic table and called the element eka-silicon.<br><br>In 1886, Clemens Winkler found the new element along with silver and sulfur, in a rare mineral called argyrodite.<br><br>The first silicon-germanium alloys were obtained in 1955.	I 1869 spådde Dmitri Mendelejev eksistensen hans og nokre av eigenskapane basert på plasseringa i periodesystemet og kalla grunnstoffet eka-silisium.<br><br>I 1886 fann Clemens Winkler det nye grunnstoffet saman med sølv og svovel i eit sjeldan mineral kalla argyroditt.<br><br>Dei fyrste silisium-germaniumlegeringane vart oppnådd i 1955.
Arsenic	Greek historian Olympiodorus of Thebes roasted arsenic sulfide and obtained white arsenic during 5th century AD.<br><br>Albertus Magnus is believed to have been the first to isolate the element from a compound in 1250, by heating soap together with arsenic trisulfide.<br><br>In 1649, Johann Schröder published two ways of preparing arsenic.	Den greske historikaren Olympiodoros frå Theben rosta arsensulfid og fekk kvitt arsen i det 5. hundreåret e.Kr.<br><br>Albertus Magnus vert rekna for å ha vore den fyrste som isolerte grunnstoffet frå ei forbinding i 1250, ved å varme opp såpe saman med arsentrissulfid.<br><br>I 1649 publiserte Johann Schröder to måtar å framstille arsen på.
Selenium	Selenium was first observed in about the year 1300 by the alchemist Arnold of Villanova.<br><br>Selenium was discovered in 1817 by Jöns Jacob Berzelius and Johan Gottlieb Gahn who noted the similarity of the new element to the previously-known tellurium.<br><br>In 1873, Willoughby Smith found that the electrical resistance of grey selenium was dependent on the ambient light.	Selen vart fyrst observert om lag i år 1300 av alkemisten Arnold av Villanova.<br><br>Selen vart oppdaga i 1817 av Jöns Jacob Berzelius og Johan Gottlieb Gahn som la merke til likskapane mellom det nye grunnstoffet og det tidlegare kjende tellur.<br><br>I 1873 fann Willoughby Smith at den elektriske motstanden til grått selen var avhengig av det omgivande lyset.
Bromine	Carl Jacob Löwig discovered bromine in 1825, while still a chemistry student at Heidelberg University, Germany.<br><br>Antoine Balard distilled the bromine from a solution of seaweed ash saturated with chlorine in 1824.<br><br>He finally published his results in 1826, providing evidence that the substance he had discovered was a new element.	Carl Jacob Löwig oppdaga brom i 1825 medan han enno var kjemistudent ved Universitetet i Heidelberg, Tyskland.<br><br>Antoine Balard destillerte brom frå ei løysing av tang-oske metta med klor i 1824.<br><br>Han publiserte endeleg resultata sine i 1826 og gav bevis for at substansen han hadde oppdaga var eit nytt grunnstoff.
Krypton	Scottish chemist Sir William Ramsay and his assistant English chemist Morris Travers discovered krypton in 1898 in London.<br><br>They found krypton in the residue left from evaporating nearly all components of liquid air.<br><br>William Ramsay was awarded the 1904 Nobel Prize in Chemistry for discovery of a series of noble gases, including krypton.	Den skotske kjemikaren Sir William Ramsay og assistenten hans, den engelske kjemikaren Morris Travers, oppdaga krypton i 1898 i London.<br><br>Dei fann krypton i reststoffet etter fordamping av nesten alle komponentane i flytande luft.<br><br>William Ramsay fekk Nobelprisen i kjemi i 1904 for oppdaginga av ei rekkje edelgassar, inkludert krypton.
Rubidium	German chemists Robert Bunsen and Gustav Kirchhoff discovered rubidium in 1861 by the newly developed method of flame spectroscopy.<br><br>The separation of the metal was tried by Bunsen, but he never got samples with more than 18% of Rubidium.<br><br>The separation of the metal was only accomplished by George de Hevesy, through the hydrolysis of melted rubidium hydroxide.	Dei tyske kjemikarane Robert Bunsen og Gustav Kirchhoff oppdaga rubidium i 1861 ved den nyutvikla metoden flamme-spektroskopi.<br><br>Separasjonen av metallet vart prøvd av Bunsen, men han fekk aldri prøvar med meir enn 18% rubidium.<br><br>Separasjonen av metallet vart berre gjennomførd av George de Hevesy, gjennom hydrolyse av smelta rubidiumhydroksid.
Strontium	Strontium was recognized as a new element in 1790 when Adair Crawford and his colleague William Cruickshank analyzed a mineral sample from a lead mine near Strontian, Scotland.<br><br>The element was eventually isolated by Sir Humphry Davy in 1808.<br><br>The isolation was done by the electrolysis of a mixture containing strontium chloride and mercuric oxide.	Strontium vart anerkjent som eit nytt grunnstoff i 1790 då Adair Crawford og kollegaen hans William Cruickshank analyserte ei mineralprøve frå ei blymina nær Strontian, Skottland.<br><br>Grunnstoffet vart endeleg isolert av Sir Humphry Davy i 1808.<br><br>Isolasjonen vart gjort ved elektrolyse av ei blanding av strontiumklorid og kvikksølvoksid.
Yttrium	In 1787, Carl Axel Arrhenius found a new mineral near Ytterby in Sweden and named it ytterbite, after the village.<br><br>Johan Gadolin discovered yttrium's oxide in Arrhenius' sample in 1789, and Anders Gustaf Ekeberg named the new oxide yttria.<br><br>Elemental yttrium was first isolated in 1828 by Friedrich Wöhler.	I 1787 fann Carl Axel Arrhenius eit nytt mineral nær Ytterby i Sverige og kalla det ytterbitt, etter landsbyen.<br><br>Johan Gadolin oppdaga oksidet til yttrium i prøva til Arrhenius i 1789, og Anders Gustaf Ekeberg namngav det nye oksidet yttria.<br><br>Elementært yttrium vart fyrst isolert i 1828 av Friedrich Wöhler.
Zirconium	Zirconium was first recognized as an element by Martin Heinrich Klaproth in 1789, in Berlin, in a sample of zircon from Sri Lanka.<br><br>Zirconium metal was first obtained in an impure form in 1824 by Jöns Jakob Berzelius by heating a mixture of potassium and potassium zirconium fluoride in an iron tube.<br><br>Dutch scientists Anton Eduard van Arkel and Jan Hendrik de Boer discovered a method for producing high purity zirconium in 1925.	Zirkonium vart fyrst anerkjent som eit grunnstoff av Martin Heinrich Klaproth i 1789 i Berlin, i ei prøve av zirkon frå Sri Lanka.<br><br>Zirkoniummetall vart fyrst oppnådd i ureint form i 1824 av Jöns Jakob Berzelius ved å varme opp ei blanding av kalium og kaliumzirkoniumfluorid i eit jernrøyr.<br><br>Dei nederlandske forskarane Anton Eduard van Arkel og Jan Hendrik de Boer oppdaga ein metode for å produsere høgrenleik zirkonium i 1925.
Niobium	Niobium was discovered by the English chemist Charles Hatchett in 1801 and named the new element columbium.<br><br>In 1846, German chemist Henrich Rose independently discovered the element and named it niobium.<br><br>The metal was first isolated by Swedish scientist Christian Wilhelm Blomstrand in 1864 who reduced the chloride by heating it in a hydrogen atmosphere.	Niobium vart oppdaga av den engelske kjemikaren Charles Hatchett i 1801 og kalla det nye grunnstoffet kolumbium.<br><br>I 1846 oppdaga den tyske kjemikaren Henrich Rose grunnstoffet uavhengig og kalla det niobium.<br><br>Metallet vart fyrst isolert av den svenske vitskapsmannen Christian Wilhelm Blomstrand i 1864, som reduserte kloridet ved å varme det i ei hydrogenatmosfære.
Molybdenum	Molybdenite was often confused for graphite and it was thought to contain lead.<br><br>In 1778 Swedish scientist Carl Wilhelm Scheele proved that molybdenite was not graphite nor did it contain lead.<br><br>In 1781, Scheele's friend and countryman, Peter J. Hjelm isolated the metal by using carbon and linseed oil.	Molybdenitt vart ofte forveksla med grafitt, og ein trudde det inneheldt bly.<br><br>I 1778 beviste den svenske vitskapsmannen Carl Wilhelm Scheele at molybdenitt ikkje var grafitt og heller ikkje inneheldt bly.<br><br>I 1781 isolerte Scheeles ven og landsmann Peter J. Hjelm metallet ved å bruke karbon og linolje.
